Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
PCED1B,vsBoth,2209,3,2,34.2611622686982,3.63314843420341e-08,5.72102831417861e-08,-4.99791343635894,-2.64349459554355,4.48482728578943,5.7953988584158e-07,0.00820550755688524,7.29730187385e-06,2.24926584041193e-06,0.0218947277281264,2.6889348143716e-05
ATP5PD,vsBoth,2209,3,2,32.9247824220965,7.08719427913232e-08,1.10769409037625e-07,-4.78866251399634,-2.40525765651203,4.52650718215157,1.67896565351512e-06,0.0161610669205666,5.99665622315444e-06,6.38513193135271e-06,0.0408209681077868,2.22022418652626e-05
GSTM3,vsBoth,2209,3,2,32.7394440494763,7.77535191339665e-08,1.21337150673253e-07,-4.74202540683973,-2.34416299329112,4.5501817456945,2.11592079937908e-06,0.0190698356046885,5.35995992906063e-06,8.01723200433571e-06,0.0475062499868418,1.98848378138262e-05
RTN4R,vsBoth,2209,3,2,32.4627074156961,8.92920206171017e-08,1.39118136023544e-07,-5.0674793502515,-2.93553199489951,4.08813284126213,4.03118218606268e-07,0.00332976270764359,4.34859126716599e-05,1.57483790595558e-06,0.00952240909515314,0.000152384485804012
HID1,vsBoth,2209,3,2,32.2026040920118,1.01693541023118e-07,1.58184150122015e-07,-4.57573913705382,-2.12148853492751,4.643298879438,4.74541555768413e-06,0.0338807117568077,3.42889765068299e-06,1.76600788583042e-05,0.0807933962066603,1.28500762833374e-05
LINC00482,vsBoth,2209,3,2,31.957967265771,1.14925282988062e-07,1.78399646767397e-07,-4.75341510872959,-2.42868033409505,4.41921238602301,2.0000910522364e-06,0.015153886827969,9.90612593079098e-06,7.58802988730834e-06,0.0384732035599186,3.62253694288047e-05
ISG15,vsBoth,2209,3,2,30.9708812856197,1.88260227421507e-07,2.90114223564083e-07,-4.7196175617164,-2.45841621368363,4.30324209736963,2.362884566431e-06,0.0139551335593414,1.68316753087468e-05,8.93209449661392e-06,0.0356225600232201,6.07043655355517e-05
SPP1,vsBoth,2209,3,2,28.8435055112841,5.45396515392107e-07,8.27066393638881e-07,-3.522049714476,-5.12950654990524,-2.715379830586,0.000428223830446934,2.90502663964137e-07,0.00661997964758241,0.00137930217458539,1.14172862963725e-06,0.0179798512744242
ADGRB2,vsBoth,2209,3,2,27.961401562181,8.477324304363e-07,1.27804825956633e-06,-5.18759231162321,-3.86971634285319,2.62982208801131,2.13030334523218e-07,0.00010896205415832,0.00854295634071554,8.41577619090836e-07,0.000371174771149668,0.0227067703374148
NDUFC1,vsBoth,2209,3,2,27.0970473035022,1.30602334542741e-06,1.95534620767528e-06,-4.3575242971482,-2.20397849235963,4.09149802858646,1.31541899672952e-05,0.0275258566907577,4.28595590452181e-05,4.77083601947108e-05,0.0666447212935006,0.000150258522264335
ZFP36,vsBoth,2209,3,2,26.9763146101277,1.38729145536244e-06,2.07467489970728e-06,-3.17444853666283,-4.86374756300475,-2.87996767911942,0.00150121509255849,1.15183799683594e-06,0.00397715940666475,0.00452573317097035,4.41151560515595e-06,0.011235632897497
YBX1,vsBoth,2209,3,2,26.9207636570909,1.42636425750556e-06,2.13205508296724e-06,-3.62991111377379,-5.03835270067393,-2.35200918219767,0.000283518834876828,4.69555578753712e-07,0.0186723139974345,0.000930527817082546,1.82930671236184e-06,0.0466311655863599
