Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
RPL9,vsBoth,2207,3,2,45.9202287836971,1.06794531718755e-10,8.37113386649617e-10,-5.74503723173448,-6.776395837399,-1.56468386819106,9.19007628566983e-09,1.23210817185845e-11,0.117657052836335,6.5299710779195e-08,1.22419908054013e-10,0.195065544632172
YME1L1,vsBoth,2207,3,2,45.8333396252096,1.1153643438669e-10,8.72659737292079e-10,-5.84266846577414,-3.16286045265091,5.11095688914991,5.13711918531383e-09,0.00156227199060379,3.20531129340129e-07,3.78541965701136e-08,0.00413797599213203,1.84453554836306e-06
ARRDC3,vsBoth,2207,3,2,45.7288910909787,1.17516126437007e-10,9.16721504638185e-10,-2.48532539538711,-5.42669750168496,-5.16195058571031,0.0129433064323338,5.74062973010224e-08,2.44389809920066e-07,0.0263120530803549,3.67418266252744e-07,1.43081214619936e-06
PSMB3,vsBoth,2207,3,2,45.3489765565877,1.4210025613998e-10,1.09833176701004e-09,-5.20872981806725,-2.17705624493899,5.71151907857564,1.90137742766904e-07,0.0294763711580022,1.11972141373233e-08,1.13240313313858e-06,0.0555446096413131,7.89151432001609e-08
GPX4,vsBoth,2207,3,2,45.2465062007141,1.49570524228851e-10,1.15395494159718e-09,-3.65959070646007,-6.08463653249691,-4.17476471491551,0.000252618413152725,1.16755871727501e-09,2.98294184922818e-05,0.000834051454009949,9.28180007472791e-09,0.000120661872937772
RASIP1,vsBoth,2207,3,2,45.1810659092367,1.54545439719023e-10,1.19146447672149e-09,-2.48858128063521,-5.40574647380079,-5.11827540631257,0.0128253916749804,6.45390324853224e-08,3.08342129200133e-07,0.0260834581401324,4.09318980114553e-07,1.78047527115261e-06
ZBTB7C,vsBoth,2207,3,2,44.9041005069662,1.77500045001574e-10,1.35553676991053e-09,-5.64806956078477,-2.89945304425538,5.22484393990352,1.6225952621873e-08,0.00373814331099161,1.74302054187401e-07,1.11878197285657e-07,0.00884642427357394,1.04264452092255e-06
TES,vsBoth,2207,3,2,44.2528708655055,2.45816588629332e-10,1.85639982882438e-09,-3.63883552025758,-6.02741368816183,-4.11025967586864,0.000273873642787036,1.66604171155938e-09,3.95214417489732e-05,0.000896271058423631,1.30062989123508e-08,0.000156290082099413
UBA52,vsBoth,2207,3,2,43.356818671054,3.84756928518246e-10,2.85451707178854e-09,-5.16592524659704,-6.54205986326781,-2.21355752480049,2.39252404694914e-07,6.06772033654723e-11,0.0268592319457139,1.40245498637439e-06,5.64120687782565e-10,0.0510191778948933
SSR4,vsBoth,2207,3,2,43.2080599195742,4.14466087646492e-10,3.06414051463565e-09,-2.15117329626557,-5.10175941766697,-5.19533094321925,0.0314625239307814,3.36510353645916e-07,2.04355971288918e-07,0.0589227843530363,1.93105690914846e-06,1.21053645797645e-06
DUSP6,vsBoth,2207,3,2,43.0831004341254,4.41187916353312e-10,3.25370297429622e-09,-3.66039546509336,-5.98224863812241,-3.98923806276468,0.000251826278047315,2.20077979825896e-09,6.62858710232406e-05,0.000831819756821417,1.69315769809633e-08,0.000250210376581926
EGR3,vsBoth,2207,3,2,42.9811188953343,4.64267859125759e-10,3.42032300411879e-09,-5.01173278660128,-6.48672765037324,-2.39901703313489,5.39420760274177e-07,8.77206970208986e-11,0.0164391499769414,3.0016155208805e-06,8.0509043563892e-10,0.0326922049857433
CCDC71L,vsBoth,2207,3,2,42.9091467685989,4.81279283041411e-10,3.54069640142546e-09,-2.64221968839692,-5.40452506317393,-4.8321859910337,0.00823646120133446,6.49803375277938e-08,1.35042004220749e-06,0.0175745951192408,4.11753034987469e-07,7.0243919906651e-06
SNX10,vsBoth,2207,3,2,42.8101133329234,5.05710539596163e-10,3.71654031018178e-09,-4.85097072933531,-6.43662009474432,-2.60600706971298,1.22858678576414e-06,1.22163184921506e-10,0.0091604570863244,6.45278477812841e-06,1.10143035271641e-09,0.0193229973235285
PHLDA2,vsBoth,2207,3,2,42.7660281262919,5.16981480499455e-10,3.79275758848312e-09,-2.40423015676483,-5.24844294951681,-4.99139086242354,0.0162065661745485,1.53390126476957e-07,5.99460511909646e-07,0.0322700105978859,9.23727922537892e-07,3.30997912813974e-06
FAT1,vsBoth,2207,3,2,42.1037561950754,7.19922104808101e-10,5.21442377047325e-09,-3.71821216592243,-5.96255765518397,-3.84700998324434,0.000200637729772886,2.48319989250509e-09,0.000119568099161195,0.00067854746569583,1.89971757739469e-08,0.000426805350221991
FAM25A,vsBoth,2207,3,2,41.9974573408539,7.59220649158708e-10,5.48774582427924e-09,-5.70470838628611,-3.22761692005863,4.73963534664243,1.16542437128957e-08,0.00124826016727619,2.14103181298773e-06,8.19345123296754e-08,0.00340321145291382,1.07483250289102e-05
