Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
RPS13,vsBoth,431,3,2,13.5535547072045,0.001139942617234,0.0206121922310831,-2.573020786012,-3.56180685835072,-0.0106675427927942,0.0100815152726774,0.000368311300394999,0.991488693730332,0.0205098821346366,0.0016259243457516,1
BZW1,vsBoth,431,3,2,13.5446250790526,0.00114504362813598,0.0206830166004666,-2.46222126861224,-3.59576716171133,-0.161369631418863,0.013807945181567,0.000323436997979592,0.871802283796572,0.0269226500043841,0.00150157631086806,0.958385387324314
ERCC3,vsBoth,431,3,2,13.5261948101276,0.00115564412662922,0.02083140965927,-3.1736123421823,-3.18644174775265,0.960560292545329,0.00150554625303611,0.00144034489727342,0.336773301876258,0.0042155295085011,0.00407101255870864,0.441499188632411
OLFML2B,vsPattern_7,431,3,2,13.5173894734588,0.00116074326109373,0.0209017551974475,-1.10191367690815,-3.5929189556963,-1.67284928527214,0.270499202014576,0.00032699431377723,0.094356969676578,0.36565354857687,0.00151197694812652,0.145568218924319
TTLL3,vsPattern_7,431,3,2,13.5102700485901,0.00116488253625705,0.0209178206820322,-1.0745293558096,-3.58584832611974,-1.69761791022517,0.282585494952682,0.000335984204966588,0.0895799002438459,0.379086332632046,0.00154387834061334,0.139009693265139
RPL26,vsBoth,431,3,2,13.5109421070858,0.00116449116741392,0.0209178206820322,-2.34490352569397,-3.62042853166425,-0.311822140929676,0.0190320034256236,0.000294115485250591,0.755175696393917,0.035445430333507,0.00139572860688084,0.85917964040361
SPNS1,vsBoth,431,3,2,13.5062785424666,0.00116720967557067,0.0209318802907524,-3.5535102151802,-2.57437755781593,1.87718523963985,0.00038012643404883,0.0100420623216602,0.0604927098227651,0.00165853222778198,0.0204481323396197,0.0985336128827496
CIB1,vsBoth,431,3,2,13.4957022217116,0.0011733984166347,0.021012750177739,-2.94654870667058,-3.36534366426202,0.563525573207936,0.00321341806892913,0.000764483758603492,0.57307705120858,0.0077891590085046,0.00265296525958617,0.688980275048517
SPSB3,vsBoth,431,3,2,13.4944639063898,0.00117412516021488,0.021012750177739,-3.41199187942244,-2.87237064585454,1.47925389299524,0.00064490034385765,0.00407404828137732,0.139072470653246,0.00235051268880477,0.00955074229343227,0.205928066924444
DDX17,vsPattern_7,431,3,2,13.4871656567391,0.00117841751639371,0.0210679823529672,-1.46354065606273,-3.6509894585542,-1.31727981836833,0.143319497346624,0.000261231963063024,0.187744847472552,0.211589297331054,0.00128725487061977,0.267679360577935
GRINA,vsPattern_7,431,3,2,13.4613032745493,0.00119375480950273,0.0213203632490636,-1.80089892091549,-3.66891733602194,-0.956326488398147,0.0717188131193465,0.000243579816709904,0.338907311440446,0.114009319475891,0.00121762813825841,0.44390832340815
NEAT1,vsPattern_7,431,3,2,13.4471104018239,0.0012022563441632,0.0214283791464271,-1.63053183762832,-3.66099664463368,-1.13952332245239,0.102989141989697,0.000251236049437613,0.254484946379351,0.1574165006138,0.00124501829764982,0.346772392064524
CSK,vsBoth,431,3,2,13.4229342376833,0.00121687751041105,0.0216227868508136,-2.57165086651557,-3.54065147158038,0.00487799869539085,0.0101214905237881,0.000399140451689668,0.996107935588533,0.0205725818244703,0.00171173451513593,1
SERPINF1,vsBoth,431,3,2,13.4244631542799,0.00121594761377906,0.0216227868508136,-3.25138570285784,-3.07768670916519,1.13486113678834,0.0011484394146014,0.0020861410771534,0.256433505514006,0.00345646814247646,0.00546633515442588,0.349215810236346
RAB25,vsPattern_7,431,3,2,13.4151673583729,0.00122161236860796,0.0216551661607448,-1.50956284003587,-3.64672793213943,-1.2626268279595,0.131155009315738,0.000265600882737517,0.206723321769722,0.195233723704846,0.0013040216720592,0.290498626652011
TSTA3,vsBoth,431,3,2,13.4097943978728,0.00122489861835552,0.0216551661607448,-2.96416284706727,-3.33606826822051,0.606748894395531,0.00303507625138318,0.000849722948468129,0.544017568494794,0.00742899383100001,0.00284549547720996,0.660284655433678
SIVA1,vsBoth,431,3,2,13.4131995836674,0.00122281488904272,0.0216551661607448,-2.81193378637071,-3.43120154512493,0.360583467641485,0.00492446393994204,0.000600913961615838,0.718410849932619,0.0111601315915782,0.0022544505884222,0.826347161401892
BUD31,vsPattern_7,431,3,2,13.404696848403,0.00122802459101459,0.0216665712436888,-1.08359658187779,-3.57483559893134,-1.67864168630706,0.27854370704089,0.000350448034047133,0.0932218970913108,0.374222845871976,0.00157648995496278,0.144064376041386
ESS2,vsBoth,431,3,2,13.3837558561508,0.00124095016825367,0.0218725293530644,-2.02260675699448,-3.65001301053011,-0.694351856031454,0.0431137070032128,0.000262227026316518,0.487461578140485,0.0727847480362278,0.00128933069613395,0.603485490954088
NDUFB2,vsBoth,431,3,2,13.3814927434734,0.00124235516805086,0.0218752194761536,-2.52502036769756,-3.54998631472539,-0.054545532285939,0.0115691583946462,0.000385251177815931,0.956500533042134,0.0230255969112223,0.00167763448944263,1
ACAP1,vsBoth,431,3,2,13.378773433156,0.00124404549153219,0.0218829230620269,-2.78254007540662,-3.44057048422752,0.32031387164466,0.0053935203780184,0.000580489220637358,0.748730408636538,0.0120290226197592,0.00220703769673797,0.853648889146781
CTSB,vsBoth,431,3,2,13.3734221467406,0.00124737857047822,0.0219194783607074,-2.10366063006117,-3.6405644724038,-0.59652955803117,0.0354080610459082,0.00027204097456582,0.550821513824054,0.0610371409053746,0.0013231083762974,0.666682435530649
